artist,artist_processed,rank,song,year,ID_index,negative,positive,n
the human beinz,the human beinz,67,nobody but me,1968,367,0,5,179
sam and dave,sam and dave,68,i thank you,1968,368,3,36,333
sergio mendes,sergio mendes,69,the fool on the hill,1968,369,7,4,140
the animals,the animals,70,sky pilot,1968,370,2,2,107
the cowsills,the cowsills,71,indian lake,1968,371,0,4,280
tommy boyce & bobby hart,tommy boyce & bobby hart,72,i wonder what shes doing tonight,1968,372,NA,NA,NA
gary puckett & the union gap,gary puckett & the union gap,73,over you,1968,373,3,2,140
the lettermen,the lettermen,74,goin out of my headcant take my eyes off you,1968,374,NA,NA,NA
stevie wonder,stevie wonder,75,shoobedoobedoodaday,1968,375,NA,NA,NA
the irish rovers,the irish rovers,76,the unicorn,1968,376,3,8,277
vanilla fudge,vanilla fudge,77,you keep me hangin on,1968,377,0,5,110
the beatles,the beatles,78,revolution,1968,378,2,21,175
gary puckett & the union gap,gary puckett & the union gap,79,woman woman,1968,379,10,4,159
the turtles,the turtles,80,elenore,1968,380,2,13,158
cream,cream,81,white room,1968,381,3,4,145
marvin gaye & tammi terrell,marvin gaye,82,youre all i need to get by,1968,382,NA,NA,NA
marvin gaye & tammi terrell,tammi terrell,82,youre all i need to get by,1968,382,NA,NA,NA
the foundations,the foundations,83,baby now that ive found you,1968,383,NA,NA,NA
sweet inspirations,sweet inspirations,84,sweet inspiration,1968,384,2,41,194
the miracles,the miracles,85,if you can want,1968,385,0,15,223
the mills brothers,the mills brothers,86,cab driver,1968,386,0,10,157
the chambers brothers,the chambers brothers,87,time has come today,1968,387,1,6,216
dionne warwick,dionne warwick,88,do you know the way to san jose,1968,388,2,7,228
simon & garfunkel,simon & garfunkel,89,scarborough faircanticle,1968,389,5,10,177
james brown,james brown,90,say it loud  im black and im proud,1968,390,9,46,542
manfred mann,manfred mann,91,the mighty quinn,1968,391,1,14,242
shorty long,shorty long,92,here comes the judge,1968,392,3,6,293
aretha franklin,aretha franklin,93,i say a little prayer,1968,393,3,11,240
